Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
70,Entry long,2026-05-29 09:51,B6 0.5x,1.16278,1000,1162.78,0.25,0.02,0.07,0.28,0.02,-0.31,-0.03,35.58,7.12,4
71,Exit long,2026-06-01 14:12,TP,1.16304,2000,2326.94,-1,-0.04,0.14,0.17,0.01,-0.93,-0.04,34.58,6.92,0
71,Entry long,2026-06-01 14:12,B7 1x,1.16347,2000,2326.94,-1,-0.04,0.14,0.17,0.01,-0.93,-0.04,34.58,6.92,0
72,Exit short,2026-06-01 20:06,TP,1.1632,2000,2326.62,0.08,0.00,0.14,0.15,0.01,-0.23,-0.01,34.66,6.93,1
72,Entry short,2026-06-01 20:03,B6 1x,1.16331,2000,2326.62,0.08,0.00,0.14,0.15,0.01,-0.23,-0.01,34.66,6.93,1
73,Exit long,2026-06-01 20:54,TP,1.16299,4000,4651.32,0.36,0.01,0.28,0.5,0.01,-0.74,-0.02,35.02,7.00,0
73,Entry long,2026-06-01 20:54,B7 2x,1.16283,4000,4651.32,0.36,0.01,0.28,0.5,0.01,-0.74,-0.02,35.02,7.00,0
74,Exit short,2026-06-03 08:36,TP,1.16182,8000,9297.04,1.92,0.02,0.56,2.2,0.02,-0.44,0.00,36.94,7.39,0
74,Entry short,2026-06-03 08:36,B7 4x,1.16213,8000,9297.04,1.92,0.02,0.56,2.2,0.02,-0.44,0.00,36.94,7.39,0
75,Exit short,2026-06-05 14:06,TP,1.15886,2000,2318.24,0.38,0.02,0.14,0.45,0.02,-0.43,-0.02,37.32,7.46,1
75,Entry short,2026-06-05 14:03,B6 1x,1.15912,2000,2318.24,0.38,0.02,0.14,0.45,0.02,-0.43,-0.02,37.32,7.46,1
76,Exit short,2026-06-08 14:24,TP,1.15506,1000,1155.43,0.3,0.03,0.07,0.34,0.03,-0.04,0.00,37.62,7.52,0
76,Entry short,2026-06-08 14:24,B6 0.5x,1.15543,1000,1155.43,0.3,0.03,0.07,0.34,0.03,-0.04,0.00,37.62,7.52,0
77,Exit short,2026-06-09 09:27,TP,1.15455,2000,2307.88,-1.36,-0.06,0.14,0.01,0.00,-1.29,-0.06,36.26,7.25,4
77,Entry short,2026-06-09 09:15,B6 1x,1.15394,2000,2307.88,-1.36,-0.06,0.14,0.01,0.00,-1.29,-0.06,36.26,7.25,4
78,Exit short,2026-06-09 14:48,TP,1.1574,1000,1157.05,-0.42,-0.04,0.07,0.2,0.02,-0.38,-0.03,35.84,7.17,0
78,Entry short,2026-06-09 14:48,B6 0.5x,1.15705,1000,1157.05,-0.42,-0.04,0.07,0.2,0.02,-0.38,-0.03,35.84,7.17,0
79,Exit long,2026-06-09 14:54,TP,1.15695,4000,4627.4,0.12,0.00,0.28,0.26,0.01,-1.22,-0.03,35.96,7.19,1
79,Entry long,2026-06-09 14:51,B6 2x,1.15685,4000,4627.4,0.12,0.00,0.28,0.26,0.01,-1.22,-0.03,35.96,7.19,1
80,Exit short,2026-06-09 20:54,TP,1.15416,4000,4617.04,0.12,0.00,0.28,0.26,0.01,-0.54,-0.01,36.08,7.22,1
80,Entry short,2026-06-09 20:51,B6 2x,1.15426,4000,4617.04,0.12,0.00,0.28,0.26,0.01,-0.54,-0.01,36.08,7.22,1
81,Exit short,2026-06-12 09:18,TP,1.15824,2000,2315.58,-1.04,-0.04,0.14,0.01,0.00,-0.97,-0.04,35.04,7.01,0
81,Entry short,2026-06-12 09:18,B6 1x,1.15779,2000,2315.58,-1.04,-0.04,0.14,0.01,0.00,-0.97,-0.04,35.04,7.01,0
82,Exit long,2026-06-12 14:48,TP,1.15714,4000,4626.72,1.56,0.03,0.28,1.7,0.04,-1.42,-0.03,36.6,7.32,2
82,Entry long,2026-06-12 14:42,B7 2x,1.15668,4000,4626.72,1.56,0.03,0.28,1.7,0.04,-1.42,-0.03,36.6,7.32,2
83,Exit short,2026-06-12 20:09,TP,1.15758,1000,1157.7,0.05,0.00,0.07,0.09,0.01,-0.1,-0.01,36.65,7.33,2
83,Entry short,2026-06-12 20:03,B6 0.5x,1.1577,1000,1157.7,0.05,0.00,0.07,0.09,0.01,-0.1,-0.01,36.65,7.33,2
84,Exit long,2026-06-15 20:57,TP,1.15862,1000,1158.86,-0.31,-0.03,0.07,0,0.00,-0.28,-0.02,36.34,7.27,0
84,Entry long,2026-06-15 20:57,B6 0.5x,1.15886,1000,1158.86,-0.31,-0.03,0.07,0,0.00,-0.28,-0.02,36.34,7.27,0
85,Exit short,2026-06-18 21:00,TP,1.14563,4000,4583.28,0.48,0.01,0.28,0.62,0.01,-1.98,-0.04,36.82,7.36,6
85,Entry short,2026-06-18 20:42,B6 2x,1.14582,4000,4583.28,0.48,0.01,0.28,0.62,0.01,-1.98,-0.04,36.82,7.36,6
86,Exit short,2026-06-22 09:24,TP,1.14484,4000,4580.08,0.44,0.01,0.28,0.58,0.01,-0.54,-0.01,37.26,7.45,0
86,Entry short,2026-06-22 09:24,B6 2x,1.14502,4000,4580.08,0.44,0.01,0.28,0.58,0.01,-0.54,-0.01,37.26,7.45,0
87,Exit short,2026-06-22 21:00,TP,1.14268,4000,4569.92,-1.08,-0.02,0.28,0.58,0.01,-0.94,-0.02,36.18,7.24,2
87,Entry short,2026-06-22 20:54,B6 2x,1.14248,4000,4569.92,-1.08,-0.02,0.28,0.58,0.01,-0.94,-0.02,36.18,7.24,2
88,Exit long,2026-06-23 08:39,TP,1.14211,4000,4570.36,-2.2,-0.05,0.28,0.54,0.01,-2.06,-0.05,33.98,6.80,2
88,Entry long,2026-06-23 08:33,B7 2x,1.14259,4000,4570.36,-2.2,-0.05,0.28,0.54,0.01,-2.06,-0.05,33.98,6.80,2
89,Exit long,2026-06-24 09:18,TP,1.1346,5000,5670,2.65,0.05,0.35,2.83,0.05,-0.62,-0.01,36.63,7.33,1
89,Entry long,2026-06-24 09:15,B8 2.5x,1.134,5000,5670,2.65,0.05,0.35,2.83,0.05,-0.62,-0.01,36.63,7.33,1
90,Exit short,2026-06-25 08:21,TP,1.13488,2000,2270.46,0.56,0.02,0.14,0.63,0.03,-0.45,-0.02,37.19,7.44,0
90,Entry short,2026-06-25 08:21,B6 1x,1.13523,2000,2270.46,0.56,0.02,0.14,0.63,0.03,-0.45,-0.02,37.19,7.44,0
91,Exit long,2026-06-25 20:48,TP,1.137,8000,9098.32,-2.88,-0.03,0.56,0.92,0.01,-2.6,-0.03,34.31,6.86,2
91,Entry long,2026-06-25 20:42,B7 4x,1.13729,8000,9098.32,-2.88,-0.03,0.56,0.92,0.01,-2.6,-0.03,34.31,6.86,2
92,Exit short,2026-06-26 09:09,TP,1.13969,1000,1139.33,-0.43,-0.04,0.07,0.21,0.02,-0.39,-0.03,33.88,6.78,0
92,Entry short,2026-06-26 09:09,B6 0.5x,1.13933,1000,1139.33,-0.43,-0.04,0.07,0.21,0.02,-0.39,-0.03,33.88,6.78,0
93,Exit long,2026-06-30 09:03,TP,1.13957,2000,2278.54,0.46,0.02,0.14,0.53,0.02,-0.09,0.00,34.34,6.87,0
93,Entry long,2026-06-30 09:03,B6 1x,1.13927,2000,2278.54,0.46,0.02,0.14,0.53,0.02,-0.09,0.00,34.34,6.87,0
94,Exit short,2026-06-30 21:30,TP,1.14238,1000,1142.65,0.2,0.02,0.07,0.24,0.02,-0.13,-0.01,34.54,6.91,10
94,Entry short,2026-06-30 21:00,B6 0.5x,1.14265,1000,1142.65,0.2,0.02,0.07,0.24,0.02,-0.13,-0.01,34.54,6.91,10
95,Exit long,2026-07-01 08:03,TP,1.14015,1000,1139.99,0.09,0.01,0.07,0.13,0.01,-0.06,-0.01,34.63,6.93,0
95,Entry long,2026-07-01 08:03,B6 0.5x,1.13999,1000,1139.99,0.09,0.01,0.07,0.13,0.01,-0.06,-0.01,34.63,6.93,0
96,Exit long,2026-07-01 14:15,TP,1.13692,1000,1136.71,0.14,0.01,0.07,0.18,0.02,-0.56,-0.05,34.77,6.95,1
96,Entry long,2026-07-01 14:12,B6 0.5x,1.13671,1000,1136.71,0.14,0.01,0.07,0.18,0.02,-0.56,-0.05,34.77,6.95,1
97,Exit long,2026-07-03 21:06,TP,1.14371,1000,1143.66,-0.02,0.00,0.07,0.02,0.00,-0.2,-0.02,34.75,6.95,2
97,Entry long,2026-07-03 21:00,B6 0.5x,1.14366,1000,1143.66,-0.02,0.00,0.07,0.02,0.00,-0.2,-0.02,34.75,6.95,2
98,Exit long,2026-07-06 08:12,TP,1.14211,1000,1141.92,0.12,0.01,0.07,0.16,0.01,-0.17,-0.02,34.87,6.97,3
98,Entry long,2026-07-06 08:03,B6 0.5x,1.14192,1000,1141.92,0.12,0.01,0.07,0.16,0.01,-0.17,-0.02,34.87,6.97,3
99,Exit long,2026-07-06 09:12,TP,1.14199,1000,1141.66,0.26,0.02,0.07,0.3,0.03,-0.04,0.00,35.13,7.03,0
99,Entry long,2026-07-06 09:12,B6 0.5x,1.14166,1000,1141.66,0.26,0.02,0.07,0.3,0.03,-0.04,0.00,35.13,7.03,0
100,Exit long,2026-07-08 20:51,TP,1.14256,4000,4569.4,0.56,0.01,0.28,0.7,0.02,-0.42,-0.01,35.69,7.14,1
100,Entry long,2026-07-08 20:48,B6 2x,1.14235,4000,4569.4,0.56,0.01,0.28,0.7,0.02,-0.42,-0.01,35.69,7.14,1
101,Exit short,2026-07-09 21:15,TP,1.14302,2000,2285.44,-0.74,-0.03,0.14,0,0.00,-0.67,-0.03,34.95,6.99,5
101,Entry short,2026-07-09 21:00,B6 1x,1.14272,2000,2285.44,-0.74,-0.03,0.14,0,0.00,-0.67,-0.03,34.95,6.99,5
