Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
91,Exit long,2026-08-04 20:03,GOLD FLIP,1.15326,2000,2302.72,3.66,0.16,0.14,3.99,0.17,-2.35,-0.10,165.25,16.53,480
91,Entry long,2026-08-03 20:03,GOLD BUY,1.15136,2000,2302.72,3.66,0.16,0.14,3.99,0.17,-2.35,-0.10,165.25,16.53,480
92,Exit short,2026-08-06 06:06,GOLD FLIP,1.1547,2000,2306.52,-2.97,-0.13,0.09,1.91,0.08,-5.51,-0.24,162.14,16.21,681
92,Entry short,2026-08-04 20:03,GOLD SELL,1.15326,2000,2306.52,-2.97,-0.13,0.09,1.91,0.08,-5.51,-0.24,162.14,16.21,681
93,Exit short,2026-08-06 06:06,GOLD FLIP,1.1547,2000,2306.84,-2.65,-0.12,0.09,1.43,0.06,-5.19,-0.22,159.55,15.96,573
93,Entry short,2026-08-05 01:27,GOLD SELL,1.15342,2000,2306.84,-2.65,-0.12,0.09,1.43,0.06,-5.19,-0.22,159.55,15.96,573
94,Exit short,2026-08-06 06:06,GOLD FLIP,1.1547,2000,2310.76,1.27,0.05,0.09,1.43,0.06,-1.27,-0.05,160.89,16.09,201
94,Entry short,2026-08-05 20:03,GOLD SELL,1.15538,2000,2310.76,1.27,0.05,0.09,1.43,0.06,-1.27,-0.05,160.89,16.09,201
95,Exit long,2026-08-07 20:12,GOLD FLIP,1.15654,2000,2309.4,3.58,0.15,0.11,6.69,0.29,-6.57,-0.28,164.4,16.44,762
95,Entry long,2026-08-06 06:06,GOLD BUY,1.1547,2000,2309.4,3.58,0.15,0.11,6.69,0.29,-6.57,-0.28,164.4,16.44,762
96,Exit long,2026-08-07 20:12,GOLD FLIP,1.15654,2000,2304.94,8.04,0.35,0.11,11.15,0.48,-1.53,-0.07,172.5,17.25,483
96,Entry long,2026-08-06 20:03,GOLD BUY,1.15247,2000,2304.94,8.04,0.35,0.11,11.15,0.48,-1.53,-0.07,172.5,17.25,483
97,Exit short,2026-08-10 01:03,GOLD FLIP,1.15581,2000,2313.08,1.32,0.06,0.14,2.13,0.09,-1.05,-0.05,173.82,17.38,96
97,Entry short,2026-08-07 20:12,GOLD SELL,1.15654,2000,2313.08,1.32,0.06,0.14,2.13,0.09,-1.05,-0.05,173.82,17.38,96
98,Exit long,2026-08-10 23:44,Open,1.15433,2000,2311.62,-3.1,-0.13,0.07,1.43,0.06,-4.09,-0.18,170.58,17.06,453
98,Entry long,2026-08-10 01:03,GOLD BUY,1.15581,2000,2311.62,-3.1,-0.13,0.07,1.43,0.06,-4.09,-0.18,170.58,17.06,453
99,Exit long,2026-08-10 23:44,Open,1.15433,2000,2308.36,0.16,0.01,0.07,0.47,0.02,-0.83,-0.04,173.84,17.38,73
99,Entry long,2026-08-10 20:03,GOLD BUY,1.15418,2000,2308.36,0.16,0.01,0.07,0.47,0.02,-0.83,-0.04,173.84,17.38,73
