Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
55,Entry short,2026-07-09 06:15,GOLD SELL,1.14318,2000,2286.36,3.18,0.14,0.08,4.01,0.18,-5.87,-0.26,82.2,8.22,756
56,Exit short,2026-07-10 20:03,GOLD FLIP,1.14155,2000,2286.56,3.38,0.15,0.08,4.21,0.18,-5.67,-0.25,85.65,8.56,480
56,Entry short,2026-07-09 20:03,GOLD SELL,1.14328,2000,2286.56,3.38,0.15,0.08,4.21,0.18,-5.67,-0.25,85.65,8.56,480
57,Exit short,2026-07-10 20:03,GOLD FLIP,1.14155,2000,2289.22,6.04,0.26,0.08,6.87,0.30,-3.01,-0.13,91.76,9.18,355
57,Entry short,2026-07-10 02:18,GOLD SELL,1.14461,2000,2289.22,6.04,0.26,0.08,6.87,0.30,-3.01,-0.13,91.76,9.18,355
58,Exit short,2026-07-10 20:03,GOLD FLIP,1.14155,2000,2289.42,6.24,0.27,0.08,7.07,0.31,-2.81,-0.12,98.07,9.81,341
58,Entry short,2026-07-10 03:00,GOLD SELL,1.14471,2000,2289.42,6.24,0.27,0.08,7.07,0.31,-2.81,-0.12,98.07,9.81,341
59,Exit short,2026-07-10 20:03,GOLD FLIP,1.14155,2000,2289.72,6.54,0.29,0.08,7.37,0.32,-0.17,-0.01,104.68,10.47,300
59,Entry short,2026-07-10 05:03,GOLD SELL,1.14486,2000,2289.72,6.54,0.29,0.08,7.37,0.32,-0.17,-0.01,104.68,10.47,300
60,Exit long,2026-07-13 06:06,GOLD FLIP,1.14051,2000,2283.1,-2.18,-0.10,0.11,0.51,0.02,-6.29,-0.28,102.43,10.24,199
60,Entry long,2026-07-10 20:03,GOLD BUY,1.14155,2000,2283.1,-2.18,-0.10,0.11,0.51,0.02,-6.29,-0.28,102.43,10.24,199
61,Exit long,2026-07-13 06:06,GOLD FLIP,1.14051,2000,2280.46,0.46,0.02,0.11,0.57,0.02,-3.65,-0.16,102.95,10.30,101
