Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
129,Exit short,2026-05-07 20:03,GOLD FLIP,1.17462,2000,2339.82,-9.51,-0.41,0.09,1.65,0.07,-19.57,-0.84,220.16,22.02,960
129,Entry short,2026-05-05 20:03,GOLD SELL,1.16991,2000,2339.82,-9.51,-0.41,0.09,1.65,0.07,-19.57,-0.84,220.16,22.02,960
130,Exit short,2026-05-07 20:03,GOLD FLIP,1.17462,2000,2343.16,-6.17,-0.26,0.09,0.85,0.04,-16.23,-0.69,214.07,21.41,860
130,Entry short,2026-05-06 01:03,GOLD SELL,1.17158,2000,2343.16,-6.17,-0.26,0.09,0.85,0.04,-16.23,-0.69,214.07,21.41,860
131,Exit short,2026-05-07 20:03,GOLD FLIP,1.17462,2000,2348.08,-1.25,-0.05,0.09,3.11,0.13,-11.31,-0.48,212.89,21.29,764
131,Entry short,2026-05-06 05:51,GOLD SELL,1.17404,2000,2348.08,-1.25,-0.05,0.09,3.11,0.13,-11.31,-0.48,212.89,21.29,764
132,Exit short,2026-05-07 20:03,GOLD FLIP,1.17462,2000,2350,0.67,0.03,0.09,2.79,0.12,-5.71,-0.24,213.63,21.36,480
132,Entry short,2026-05-06 20:03,GOLD SELL,1.175,2000,2350,0.67,0.03,0.09,2.79,0.12,-5.71,-0.24,213.63,21.36,480
133,Exit long,2026-05-08 06:03,GOLD FLIP,1.17364,2000,2349.24,-2.1,-0.09,0.14,1.55,0.07,-5.27,-0.22,211.53,21.15,200
133,Entry long,2026-05-07 20:03,GOLD BUY,1.17462,2000,2349.24,-2.1,-0.09,0.14,1.55,0.07,-5.27,-0.22,211.53,21.15,200
134,Exit short,2026-05-11 06:48,GOLD FLIP,1.1749,2000,2347.28,-2.61,-0.11,0.09,0.69,0.03,-10.37,-0.44,208.78,20.88,494
134,Entry short,2026-05-08 06:03,GOLD SELL,1.17364,2000,2347.28,-2.61,-0.11,0.09,0.69,0.03,-10.37,-0.44,208.78,20.88,494
135,Exit short,2026-05-11 06:48,GOLD FLIP,1.1749,2000,2356.08,6.19,0.26,0.09,7.31,0.31,-1.57,-0.07,215.03,21.50,214
135,Entry short,2026-05-08 20:03,GOLD SELL,1.17804,2000,2356.08,6.19,0.26,0.09,7.31,0.31,-1.57,-0.07,215.03,21.50,214
136,Exit short,2026-05-11 06:48,GOLD FLIP,1.1749,2000,2354.2,4.31,0.18,0.09,4.37,0.19,-0.25,-0.01,219.41,21.94,114
136,Entry short,2026-05-11 01:06,GOLD SELL,1.1771,2000,2354.2,4.31,0.18,0.09,4.37,0.19,-0.25,-0.01,219.41,21.94,114
137,Exit long,2026-05-11 20:03,GOLD FLIP,1.1776,2000,2349.8,5.26,0.22,0.14,7.71,0.33,-0.13,-0.01,224.67,22.47,265
137,Entry long,2026-05-11 06:48,GOLD BUY,1.1749,2000,2349.8,5.26,0.22,0.14,7.71,0.33,-0.13,-0.01,224.67,22.47,265
138,Exit short,2026-05-12 02:18,GOLD FLIP,1.17651,2000,2355.2,2.08,0.09,0.11,2.49,0.11,-2.47,-0.10,226.68,22.67,125
138,Entry short,2026-05-11 20:03,GOLD SELL,1.1776,2000,2355.2,2.08,0.09,0.11,2.49,0.11,-2.47,-0.10,226.68,22.67,125
139,Exit short,2026-05-12 02:18,GOLD FLIP,1.17651,2000,2355.18,2.06,0.09,0.11,2.47,0.10,-0.37,-0.02,228.8,22.88,25
139,Entry short,2026-05-12 01:03,GOLD SELL,1.17759,2000,2355.18,2.06,0.09,0.11,2.47,0.10,-0.37,-0.02,228.8,22.88,25
140,Exit long,2026-05-14 01:03,GOLD FLIP,1.17167,2000,2353.02,-9.77,-0.42,0.09,0.35,0.01,-14.05,-0.60,218.82,21.88,935
140,Entry long,2026-05-12 02:18,GOLD BUY,1.17651,2000,2353.02,-9.77,-0.42,0.09,0.35,0.01,-14.05,-0.60,218.82,21.88,935
141,Exit long,2026-05-14 01:03,GOLD FLIP,1.17167,2000,2350.82,-7.57,-0.32,0.09,2.55,0.11,-11.85,-0.50,211.33,21.13,856
141,Entry long,2026-05-12 06:15,GOLD BUY,1.17541,2000,2350.82,-7.57,-0.32,0.09,2.55,0.11,-11.85,-0.50,211.33,21.13,856
142,Exit long,2026-05-14 01:03,GOLD FLIP,1.17167,2000,2348.28,-5.03,-0.21,0.09,1.03,0.04,-9.31,-0.40,206.37,20.64,580
142,Entry long,2026-05-12 20:03,GOLD BUY,1.17414,2000,2348.28,-5.03,-0.21,0.09,1.03,0.04,-9.31,-0.40,206.37,20.64,580
143,Exit long,2026-05-14 01:03,GOLD FLIP,1.17167,2000,2341.9,1.35,0.06,0.09,1.79,0.08,-1.19,-0.05,207.79,20.78,100
143,Entry long,2026-05-13 20:03,GOLD BUY,1.17095,2000,2341.9,1.35,0.06,0.09,1.79,0.08,-1.19,-0.05,207.79,20.78,100
144,Exit short,2026-05-14 20:03,GOLD FLIP,1.16783,2000,2343.34,7.54,0.32,0.14,9.13,0.39,-1.03,-0.04,215.33,21.53,380
144,Entry short,2026-05-14 01:03,GOLD SELL,1.17167,2000,2343.34,7.54,0.32,0.14,9.13,0.39,-1.03,-0.04,215.33,21.53,380
145,Exit long,2026-05-18 20:03,GOLD FLIP,1.16492,2000,2335.66,-5.9,-0.25,0.08,0,0.00,-14.05,-0.60,209.01,20.90,959
145,Entry long,2026-05-14 20:03,GOLD BUY,1.16783,2000,2335.66,-5.9,-0.25,0.08,0,0.00,-14.05,-0.60,209.01,20.90,959
146,Exit long,2026-05-18 20:03,GOLD FLIP,1.16492,2000,2334.04,-4.28,-0.18,0.08,0.43,0.02,-12.43,-0.53,204.8,20.48,943
146,Entry long,2026-05-14 20:51,GOLD BUY,1.16702,2000,2334.04,-4.28,-0.18,0.08,0.43,0.02,-12.43,-0.53,204.8,20.48,943
147,Exit long,2026-05-18 20:03,GOLD FLIP,1.16492,2000,2330.66,-0.9,-0.04,0.08,0.77,0.03,-9.05,-0.39,203.97,20.40,846
147,Entry long,2026-05-15 01:42,GOLD BUY,1.16533,2000,2330.66,-0.9,-0.04,0.08,0.77,0.03,-9.05,-0.39,203.97,20.40,846
148,Exit long,2026-05-18 20:03,GOLD FLIP,1.16492,2000,2329.88,-0.12,-0.01,0.08,1.55,0.07,-8.27,-0.35,203.92,20.39,830
148,Entry long,2026-05-15 02:30,GOLD BUY,1.16494,2000,2329.88,-0.12,-0.01,0.08,1.55,0.07,-8.27,-0.35,203.92,20.39,830
149,Exit long,2026-05-18 20:03,GOLD FLIP,1.16492,2000,2329.08,0.68,0.03,0.08,2.35,0.10,-7.47,-0.32,204.67,20.47,759
149,Entry long,2026-05-15 06:03,GOLD BUY,1.16454,2000,2329.08,0.68,0.03,0.08,2.35,0.10,-7.47,-0.32,204.67,20.47,759
150,Exit long,2026-05-18 20:03,GOLD FLIP,1.16492,2000,2324.36,5.4,0.23,0.08,7.07,0.30,-2.75,-0.12,210.14,21.01,479
150,Entry long,2026-05-15 20:03,GOLD BUY,1.16218,2000,2324.36,5.4,0.23,0.08,7.07,0.30,-2.75,-0.12,210.14,21.01,479
151,Exit long,2026-05-18 20:03,GOLD FLIP,1.16492,2000,2323.64,6.12,0.26,0.08,7.79,0.34,-2.03,-0.09,216.33,21.63,380
